model,cw_pct,ots_pct,ots_macro,balanced_ots,threat_capture,critical_miss,anomaly_capture,anomaly_suppression,false_review,false_escalation,ord_pct,mae,rmse,exact,minor,hard,hard_miss,hard_over,n_errors,n,avg_seconds_per_event,total_tokens,total_llm_errors,rank,tier,incomplete
deepseek-v3.2,54.4,52.9,59.3,56.9,98.2,1.8,86.5,13.5,50.5,6.2,76.2,19.7,25.6,106,76,7,1,6,0,189,47.04,554491,0,45,open_source_pro,False
qwen35-397b,54.3,51.2,56.7,52.4,94.5,5.5,78.4,21.6,44.3,4.1,76.7,18.0,23.7,108,74,7,3,4,0,189,39.67,791132,1,46,open_source_pro,False
muse-glimmer-30b,54.3,56.0,57.7,61.0,100.0,0.0,89.2,10.8,47.4,4.1,77.2,15.5,19.6,107,78,4,0,0,0,189,0,0,0,47,closed_source,False
grok-4.20,54.1,51.4,53.4,52.3,92.7,7.3,81.1,18.9,43.3,1.0,77.2,17.0,22.4,108,76,5,4,1,0,189,6.31,531311,0,48,closed_source,False
mimo-v2.5,54.0,51.1,53.0,50.3,96.4,3.6,73.0,27.0,42.3,5.2,76.5,18.3,24.0,107,75,7,2,5,0,189,55.94,705507,1,49,closed_source,False
grok-4-openrouter,53.6,51.0,53.3,51.8,92.7,7.3,81.1,18.9,43.3,1.0,77.0,17.0,22.4,107,77,5,4,1,0,189,6.58,532036,0,50,closed_source,False
deepseek-v3.1,53.5,52.3,58.8,57.1,100.0,0.0,86.5,13.5,52.6,9.3,75.1,19.6,25.3,104,76,9,0,9,0,189,18.1,546071,0,51,open_source_pro,False
tencent-hy3,52.9,51.1,51.1,54.9,94.5,5.5,62.0,51.5,56.7,3.1,76.2,19.0,24.3,105,78,6,3,3,0,189,166.8,0,0,52,closed_source,False
gemini-2.5-flash,52.3,50.2,54.9,53.7,100.0,0.0,86.5,13.5,53.6,18.6,72.8,23.2,29.8,104,67,18,0,18,0,189,3.0,563432,0,53,closed_source,False
gpt-5,51.9,53.1,53.2,56.0,100.0,0.0,83.8,16.2,45.4,3.1,75.9,15.2,19.8,101,85,3,0,3,0,189,27.99,759298,0,54,closed_source,False
laguna-m.1,51.3,52.0,56.9,57.1,98.2,1.8,91.9,8.1,51.5,5.2,75.1,18.0,23.1,101,82,6,1,5,0,189,61.74,686877,0,55,closed_source,False
nemotron-3-super-120b,51.0,52.0,47.6,55.3,98.2,1.8,89.2,10.8,46.4,5.2,74.9,17.0,20.7,100,83,6,1,5,0,189,32.66,724337,2,56,open_source_pro,False
gpt-5.4-mini,49.7,45.4,51.8,46.8,90.9,9.1,81.1,18.9,47.4,5.2,73.8,20.1,25.7,100,79,10,5,5,0,189,4.07,528966,0,57,closed_source,False
llama-3.1-70b,49.7,46.4,56.7,53.4,98.2,1.8,91.9,8.1,59.8,30.9,69.3,23.6,30.9,104,54,31,1,30,0,189,13.79,510564,1,58,open_source_consumer,False
gpt-5.6-sol,49.5,50.1,49.4,54.8,98.2,1.8,89.2,10.8,49.5,4.1,74.1,15.3,19.9,96,88,5,0,0,0,189,0,0,0,59,closed_source,False
gpt-5.4,48.3,51.9,49.0,57.0,100.0,0.0,94.6,5.4,47.4,0.0,74.3,16.8,20.9,92,97,0,0,0,0,189,7.35,540631,0,60,closed_source,False
gpt-5-mini,47.6,48.4,49.2,58.1,100.0,0.0,97.3,2.7,64.9,6.2,73.0,20.1,26.4,93,90,6,0,6,0,189,21.15,736268,0,61,closed_source,False
gpt-5.6-terra,46.1,47.9,45.3,54.4,100.0,0.0,91.9,8.1,55.7,2.1,72.8,16.8,21.6,88,99,2,0,0,0,189,0,0,0,62,closed_source,False
gemini-2.5-flash-lite,44.8,39.2,43.4,48.7,100.0,0.0,83.8,16.2,72.2,32.0,66.4,24.6,31.7,93,65,31,0,31,0,189,2.08,568487,0,63,closed_source,False
devstral-small,44.1,39.3,41.4,47.6,94.5,5.5,89.2,10.8,71.1,10.3,69.8,21.6,27.5,88,88,13,3,10,0,189,1.55,537947,0,64,open_source_consumer,False
mercury-2,43.1,40.8,44.1,45.2,96.4,3.6,81.1,18.9,58.8,6.2,70.4,18.7,24.0,85,96,8,2,6,0,189,1.61,576576,0,65,closed_source,False
gpt-5.6-luna,42.8,44.3,41.9,53.2,98.2,1.8,97.3,2.7,61.9,4.1,70.6,17.0,21.8,83,101,5,0,0,0,189,0,0,0,66,closed_source,False
gpt-4o-mini,38.9,35.4,39.5,48.4,100.0,0.0,94.6,5.4,79.4,33.0,63.2,24.8,31.5,82,75,32,0,32,0,189,2.77,491531,0,67,closed_source,False
gpt-5-nano,38.8,36.6,37.9,52.2,100.0,0.0,100.0,0.0,87.6,15.5,66.4,22.5,27.5,77,97,15,0,15,0,189,30.06,1009238,0,68,closed_source,False
gemma3-4b,37.5,26.3,23.5,27.0,94.5,5.5,64.9,35.1,61.9,60.8,57.1,28.2,36.4,89,38,62,3,59,0,189,7.89,546345,0,69,open_source_consumer,False
gemma3-12b,36.3,31.7,36.0,44.7,100.0,0.0,97.3,2.7,83.5,46.4,59.3,26.3,33.7,80,64,45,0,45,0,189,7.89,542626,0,70,open_source_consumer,False
gemma3n-4b,35.7,29.9,38.6,42.0,100.0,0.0,91.9,8.1,81.4,53.6,57.7,23.9,30.8,81,56,52,0,52,0,189,9.41,555305,0,71,open_source_consumer,False
mistral-nemo,35.6,26.7,33.6,29.0,90.9,9.1,70.3,29.7,67.0,20.6,63.2,25.9,32.4,75,89,25,5,20,0,189,5.45,540074,1,72,open_source_consumer,False
gpt-5.4-nano,33.1,32.6,32.1,45.4,98.2,1.8,97.3,2.7,82.5,2.1,65.6,20.2,24.3,62,124,3,1,2,0,189,4.2,554817,0,73,closed_source,False
llama-3.1-8b,32.6,31.5,30.9,46.4,98.2,1.8,100.0,0.0,89.7,2.1,65.3,20.4,24.6,61,125,3,1,2,0,189,13.45,637239,3,74,open_source_consumer,False
gemma3-27b,29.8,22.5,29.7,35.9,100.0,0.0,91.9,8.1,87.6,69.1,51.6,29.6,37.0,73,49,67,0,67,0,189,12.53,554195,0,75,open_source_consumer,False
always-fp,30.1,-20.9,-20.9,-58.3,0.0,100.0,0.0,100.0,0.0,0.0,0.0,–,–,0,0,0,55,0,0,190,0,0,0,baseline,baseline,False
always-inc,22.1,21.6,21.6,38.3,100.0,0.0,100.0,0.0,100.0,0.0,0.0,–,–,0,0,0,0,0,0,190,0,0,0,baseline,baseline,False
always-tp,16.9,8.0,8.0,25.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,–,–,0,0,0,0,98,0,190,0,0,0,baseline,baseline,False
